Category,Program Name,Location,Stipend/Compensation,Eligibility/Details,Deadline
International,[LIGO IndiGo](http,Global/N/A,N/A,"://jobs.gw-indigo.org/tiki-index.php?page=LIGO-IndIGO+Summer+Students+Program) at CalTech, funded by US NSF Organized by LIGO Laboratory at California Institute of Technology (Caltech) Only For circuital branch students and Physics Major students",10 Januray
International,[Research Internship for Young Academics (RIYA) Program](https,India,"$5,000 There will be 2 rounds --> 1st round is elimination round based on CV and who ever get selected can apply for 2nd round. Intitial Application Deadline: 9 September",://mae.osu.edu/RIYA) Organized by Ohio State University Only for Mechanical and Aerospace students of India,9 September
International,[Duke ECE SURP](https,Global/N/A,N/A,://ece.duke.edu/undergrad/reu) Organized by Duke University For circuital branch students,2 February
International,"[IVISP, HKUST](https",Global/N/A,"US$1,300 - US$1,500 Deadline : 31 October",://pg.ust.hk/prospective-students/programs/short-term-study/international-visiting-internship-student-program) In Hong Kong Univesity of Science and Technology,31 October
International,"[Space Astronomy Summer Program, Space Telescope Science Institute (STScI)](http",Global/N/A,"650$ per week Best for Mechanical, Aerospace, Instrumentation,  physics and computer science student Deadline : 5 February",://www.stsci.edu/opportunities/space-astronomy-summer-program/application-information),5 February
International,[ASPIRE](https,Global/N/A,N/A,"://aspire.science.uva.nl/index.html) Organized by Anton Pannekoek Institute (API), University of Amsterdam, Netherland. Only for circuital branch and mathematics and Physics Major students who are interested in field of Astronomy.",8th FEBRUARY
International,[NASA LPI Program](https,Global/N/A,N/A,"://www.lpi.usra.edu/lpiintern/) Organized by Lunar and Planetary Institute of NASA Relevant fields of study include the natural sciences, engineering, computer sciences, and mathematics.",6th January 36.[Columbia Buisness Summer Internship](https://www8.gsb.columbia.edu/programs/pre-doctoral-research/summer-research-internship) Best for students who want to pursue in the field of Management and Data Science  Apply early - applications will be reviewed on a rolling basis. Final Deadline: 1 March
International,[TUSUR University](https,Global/N/A,N/A,://tusur.ru/en/research/research-internships) Russian University and Only for ciruital branch student,1st FEBRUARY
International,"[OIST Research Internship Program, Okinawa Institute of Science and Technology](https",Global/N/A,N/A,"://admissions.oist.jp/oist-research-internship-program-description) Mostly for Life science, mechanical. chemical engineering students",15 October
International,"[SURP, CUHK](http",Global/N/A,N/A,://www.summer.cuhk.edu.hk/surp/),17 February
